---|ARABIC|---	^-
2M MAROC	00!0!1/322356
ABU DHABI SPORTS 1	00!0!1/322357
ABU DHABI SPORTS ASIA 1 [Match]	00!0!1/322282
ABU DHABI TV	00!0!1/322358
AD NAT GEO	00!0!1/322860
AD SPORT 2	00!0!1/322361
AD SPORTS 1 ASIA	00!0!1/322362
AD SPORTS 2 ASIA	00!0!1/322363
AD SPORTS PREMIUM 1	00!0!1/322364
ADEN TV	00!0!1/322366
AGHANI TV	00!0!1/322367
AGHAPY CHRISTIAN	00!0!1/322368
AJMAN	00!0!1/322369
AJYAL TV	00!0!1/322370
AL AFASY	00!0!1/322372
Al Ahad TV	00!0!1/322351
AL ALAM	00!0!1/322374
AL ANBAR	00!0!1/322375
AL ANIS TV	00!0!1/322376
AL ANWAR 2	00!0!1/322378
AL ANWAR	00!0!1/322377
AL AOULA INTER	00!0!1/322379
AL ARABIYA	00!0!1/322380
Al ARABY 2	00!0!1/322382
AL ARABY	00!0!1/322381
AL ASSEMA	00!0!1/322383
AL AWHAD TV	00!0!1/322384
AL AYAM TV	00!0!1/322385
Al Baghdadia TV	00!0!1/322350
AL BASIRA ISLAMIC	00!0!1/322386
AL DAFRA	00!0!1/322387
Al Dafrah TV FHD	00!0!1/322348
AL EMARAT TV	00!0!1/322390
AL FADY TV	00!0!1/322391
Al Fajer 1	00!0!1/322937
AL FAJER 2	00!0!1/322392
Al Fajer 3	00!0!1/322938
Al Fajer 4	00!0!1/322939
Al Fajer 5	00!0!1/322940
AL FALLUJA TV	00!0!1/322393
Al Fallujah	00!0!1/322347
AL FORAT	00!0!1/322394
AL GHAD ALARABY	00!0!1/322395
AL GHADEER	00!0!1/322397
AL HADATH	00!0!1/322398
AL HADEF ALGERIE	00!0!1/322399
AL HAWYAH TV	00!0!1/322401
Al Hayah 1	00!0!1/322346
AL HAYAT CHRISTIAN	00!0!1/322403
AL HAYAT TV ALGERIE	00!0!1/322405
AL HAYAT	00!0!1/322402
AL HEDDAF TV	00!0!1/322407
AL HIWAR TV	00!0!1/322408
Al Horreya	00!0!1/322345
AL HURRA IRAQ TV	00!0!1/322410
AL HURRA	00!0!1/322409
AL IMAN TV	00!0!1/322411
AL INSEN TV	00!0!1/322412
AL IRAQIYA	00!0!1/322413
Al Ittihad TV	00!0!1/322344
AL JADEED	00!0!1/322414
AL JANOUBIA	00!0!1/322415
AL JAZEERA DOCUMENTARY	00!0!1/322417
AL JAZEERA MUBASHER	00!0!1/322418
AL JAZEERA	00!0!1/322416
AL KAHERA WA NAS 2	00!0!1/322421
AL KAHERA WA NAS	00!0!1/322420
AL KAHERA	00!0!1/322419
Al Karma TV US	00!0!1/322341
Al Karma TV	00!0!1/322342
Al Karma	00!0!1/322343
AL KASS 1	00!0!1/322423
AL KASS 2	00!0!1/322424
AL KASS 3	00!0!1/322425
AL KASS 4	00!0!1/322426
AL KAWTHAR	00!0!1/322427
AL MAALY TV	00!0!1/322429
AL MAAREF	00!0!1/322430
AL MAGHRIBIA	00!0!1/322431
AL MAJD QURAN	00!0!1/322432
AL MAJD TV	00!0!1/322433
AL MANAR TV	00!0!1/322436
AL MASAR ALOULA	00!0!1/322437
AL MASIRAH TV	00!0!1/322438
AL MAWSLEYA	00!0!1/322439
AL MAYADEEN	00!0!1/322440
AL MEHWAR	00!0!1/322441
AL MUSTAKILA	00!0!1/322442
Al Mustakillah	00!0!1/322338
AL NAEEM	00!0!1/322443
AL NAHAR AL YOUM	00!0!1/322444
AL NAHAR DRAMA	00!0!1/322445
AL NAS TV	00!0!1/322446
AL QAMAR	00!0!1/322447
AL QANAT 9	00!0!1/322448
AL QUDS TODAY	00!0!1/322449
AL RAFIDAIN	00!0!1/322450
AL RAHMA TV	00!0!1/322451
AL RAI	00!0!1/322452
AL RASHEED TV	00!0!1/322453
AL RAYYAN AL QADEEM	00!0!1/322455
AL RAYYAN	00!0!1/322454
AL RESALAH TV	00!0!1/322456
AL SALAM PALESTINE	00!0!1/322459
AL SERAJ	00!0!1/322461
AL SHARJAH	00!0!1/322462
AL SHARQ	00!0!1/322463
Al Sharqia News	00!0!1/322337
AL SHARQIYA NEWS	00!0!1/322465
AL SHARQIYA	00!0!1/322464
AL SHOROUQ TV	00!0!1/322467
AL SUMARIYA	00!0!1/322468
AL TAGHIER	00!0!1/322469
AL YAUM	00!0!1/322471
Al-Fajer TV 1	00!0!1/322906
Al-Fajer TV 2	00!0!1/322907
Al-Fajer TV 3	00!0!1/322908
Al-Fajer TV 4	00!0!1/322909
Al-Fajer TV 5	00!0!1/322910
ALGERIA 4	00!0!1/322473
ALGERIA 5 QURAN	00!0!1/322474
ALGERIE DIRECT	00!0!1/322476
Almagd TV	00!0!1/322335
ALNABAA	00!0!1/322478
ANB	00!0!1/322479
ARABICA	00!0!1/322481
ARRABIAA	00!0!1/322482
ARRIADIA	00!0!1/322483
ASIA TV	00!0!1/322484
ASSABIAA 7	00!0!1/322485
ASSADISSA	00!0!1/322486
ATFAL MAWAHEB KIDS	00!0!1/322487
AWDEH	00!0!1/322489
AZHARI ISLAMIC	00!0!1/322490
B4U AFLAM	00!0!1/322491
B4U PLUS	00!0!1/322492
BABY TV	00!0!1/322493
BAHIA TV	00!0!1/322494
BAHRAIN INT	00!0!1/322496
Bahrain International	00!0!1/322333
BAHRAIN QURAN	00!0!1/322497
BAHRAIN SPORT 1	00!0!1/322498
BAHRAIN SPORT 2	00!0!1/322499
BAHRAIN	00!0!1/322495
BBC ARABIC	00!0!1/322500
BEDAYA TV	00!0!1/322501
BEIN BARAEM	00!0!1/322502
BEIN DRAMA 1	00!0!1/322251
BEIN ENGLISH 1 HD	00!0!1/320908
BEIN ENGLISH 2 HD	00!0!1/320907
BEIN FOX LIFE	00!0!1/322254
BEIN FOX LIFE	00!0!1/322503
BEIN FOX MOVIE	00!0!1/322255
BEIN GOURMET	00!0!1/322256
BEIN JEEM	00!0!1/322257
BEIN MOVIES 1 PREMIERE	00!0!1/322258
BEIN MOVIES 2 ACTION	00!0!1/322259
BEIN MOVIES 3	00!0!1/322260
BEIN MOVIES 4 FAMILY	00!0!1/322261
BEIN SERIES 1	00!0!1/322262
BEIN SERIES 2	00!0!1/322263
BEIN SPORT NEWS	00!0!1/322941
BEIN SPORTS 1 ARAB HD	00!0!1/320903
Bein Sports 1 English	00!0!1/322930
BEIN SPORTS 1	00!0!1/322288
BEIN SPORTS 2 ARAB HD	00!0!1/320904
BEIN SPORTS 3 ARAB HD	00!0!1/320905
BEIN SPORTS 3	00!0!1/322266
BEIN SPORTS 4 ARAB HD	00!0!1/320912
BEIN SPORTS 4	00!0!1/322267
BEIN SPORTS 5 [Match]	00!0!1/322268
BEIN SPORTS 5 ARAB HD	00!0!1/320911
BEIN SPORTS 6	00!0!1/322269
BEIN SPORTS 7	00!0!1/322270
BEIN SPORTS 8 ARAB HD	00!0!1/320998
BEIN SPORTS 8	00!0!1/322881
BEIN SPORTS 9	00!0!1/322882
BEIN SPORTS AFC	00!0!1/322879
BEIN SPORTS ENGLISH 2	00!0!1/322271
BEIN SPORTS ENGLISH 3 [Events]	00!0!1/322272
BEIN SPORTS MAX 1	00!0!1/322273
bein sports max 2	00!0!1/322283
bein sports max 4	00!0!1/322284
BEIN SPORTS MAX 6	00!0!1/322274
BEIN SPORTS NBA	00!0!1/322275
BEIN SPORTS PREMIUM 1	00!0!1/322277
BEIN SPORTS PREMIUM 2	00!0!1/322278
BEIN SPORTS PREMIUM 3	00!0!1/322279
BEIN SPORTS XTRA 1	00!0!1/322280
BEIN SPORTS XTRA 2	00!0!1/322281
BEIN SPORTS XTRA 3 [Match]	00!0!1/322883
Belqees News	00!0!1/322332
BELQEES	00!0!1/322506
BERBERE TV	00!0!1/322508
BEUR TV	00!0!1/322509
Bloomberg	00!0!1/322711
CAIRO DRAMA	00!0!1/322510
Canal Algerie 2	00!0!1/322331
CANAL ATLAS	00!0!1/322511
Carthage TV	00!0!1/322330
CARTHAGE+	00!0!1/322512
CARTOON NETWORK	00!0!1/322287
CBC DRAMA	00!0!1/322514
CBC EXTRA NEWS	00!0!1/322515
CBC SOFRA	00!0!1/322516
CBC	00!0!1/322513
CHADA TV	00!0!1/322518
CIMA TV	00!0!1/322519
CINEMA 1	00!0!1/322520
CNBC ARABIA	00!0!1/322521
Coptic Sat	00!0!1/322329
CTV	00!0!1/322522
DIJLAH TV	00!0!1/322523
DMC DRAMA	00!0!1/322526
DMC	00!0!1/322525
DUBAI ONE	00!0!1/322529
DUBAI RACING 1	00!0!1/322530
DUBAI RACING 2	00!0!1/322531
DUBAI RACING 3	00!0!1/322532
DUBAI SPORT 1	00!0!1/322533
DUBAI SPORT 2	00!0!1/322534
DUBAI SPORT 3	00!0!1/322535
DUBAI TV	00!0!1/322536
DUBAI ZAMAN	00!0!1/322537
DW TV	00!0!1/322328
DW	00!0!1/322538
Dzair 3	00!0!1/322327
DZAIR NEWS	00!0!1/322539
Dzzair News	00!0!1/322326
Echorouk Benna	00!0!1/322323
Echourouk TV	00!0!1/322322
EGYPTIAN TV	00!0!1/322540
